poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd,_time_order,afd_support_c
82,2021-02-04,2021-02-19,10,cdu/csu,34.000,34.000,0.000,0.000,0.135,0.405,2.264,0.051,0.253,0.101,2.750,3.600,0.000,2.556,1.767,4,5,1,27,30,79,46,730.215,True,False,4.000,CDU/CSU,0.051,0.063,0.013,0.342,0.380,220,24,21,12,83,82,0.018,0.023,0.005,0.123,0.136,0.167,0.238,0.083,0.325,0.366,Regierung,1.000,0.000,19.000,WP19,2021,2,15,0.778,2.333,5.972,0.818,1.333,0.182,7.500,7.000,5.500,5.941,5.958,33,30,6,3,2,17,24,0.182,0.091,0.061,0.515,0.727,0.643,1.928,3.708,0.768,1.080,0.081,4.750,3.400,5.500,3.386,4.192,2021-02-04,-4.649
83,2021-02-19,2021-03-04,11,linke,6.000,6.000,0.000,0.000,0.569,1.706,1.526,0.588,1.059,0.059,0.250,5.000,0.600,1.455,1.733,4,2,5,11,15,34,26,506.794,True,False,0.000,Die Linke,0.118,0.059,0.147,0.324,0.441,245,33,13,32,74,91,0.016,0.008,0.020,0.045,0.061,0.121,0.154,0.156,0.149,0.165,Opposition,0.000,1.000,19.000,WP19,2021,2,13,0.803,2.410,6.409,0.795,1.359,0.256,7.000,8.143,8.833,5.708,7.524,39,32,7,7,6,24,21,0.179,0.179,0.154,0.615,0.538,0.235,0.704,4.883,0.207,0.300,0.198,6.750,3.143,8.233,4.254,5.790,2021-02-19,-3.649
84,2021-03-04,2021-03-19,11,cdu/csu,33.000,33.000,0.000,0.000,0.140,0.420,2.634,0.086,0.296,0.037,2.750,5.250,2.400,2.630,1.389,12,4,10,27,18,81,46,663.901,True,False,4.000,CDU/CSU,0.148,0.049,0.123,0.333,0.222,231,43,14,29,79,54,0.052,0.017,0.043,0.117,0.078,0.279,0.286,0.345,0.342,0.333,Regierung,1.000,0.000,19.000,WP19,2021,3,15,1.019,3.057,6.687,1.057,1.514,0.486,9.200,8.625,7.750,6.158,7.200,35,29,5,8,8,19,20,0.143,0.229,0.229,0.543,0.571,0.879,2.637,4.053,0.971,1.218,0.449,6.450,3.375,5.350,3.528,5.811,2021-03-04,-3.649
85,2021-03-19,2021-04-01,11,linke,7.000,7.000,0.000,0.000,0.413,1.238,1.378,0.333,0.833,0.071,1.000,0.500,0.500,1.000,2.000,9,2,6,11,14,42,30,486.119,True,False,0.000,Die Linke,0.214,0.048,0.143,0.262,0.333,323,55,23,45,95,127,0.028,0.006,0.019,0.034,0.043,0.164,0.087,0.133,0.116,0.110,Opposition,0.000,1.000,19.000,WP19,2021,3,13,0.841,2.522,6.531,0.848,1.413,0.261,6.125,8.333,7.455,6.043,7.300,46,38,8,6,11,23,30,0.174,0.130,0.239,0.500,0.652,0.428,1.284,5.153,0.514,0.580,0.189,5.125,7.833,6.955,5.043,5.300,2021-03-19,-3.649
86,2021-04-01,2021-04-16,11,cdu/csu,27.000,29.000,-2.000,2.000,0.048,0.145,1.750,0.018,0.091,0.036,1.733,3.000,0.727,2.350,1.333,15,1,11,20,18,55,40,639.109,True,False,4.000,CDU/CSU,0.273,0.018,0.200,0.364,0.327,171,48,5,29,54,50,0.088,0.006,0.064,0.117,0.105,0.312,0.200,0.379,0.370,0.360,Regierung,1.000,0.000,19.000,WP19,2021,4,15,0.828,2.483,7.278,0.828,1.345,0.310,7.600,8.500,8.571,7.071,7.688,29,21,5,4,7,14,16,0.172,0.138,0.241,0.483,0.552,0.779,2.337,5.528,0.809,1.254,0.274,5.867,5.500,7.844,4.721,6.354,2021-04-01,-3.649
87,2021-04-16,2021-05-06,11,cdu/csu,28.000,27.000,1.000,1.000,0.084,0.253,2.457,0.047,0.165,0.041,2.438,2.800,2.706,2.958,1.316,16,10,17,71,57,170,116,607.465,True,False,4.000,CDU/CSU,0.094,0.059,0.100,0.418,0.335,488,56,26,62,190,148,0.033,0.020,0.035,0.145,0.117,0.286,0.385,0.274,0.374,0.385,Regierung,1.000,0.000,19.000,WP19,2021,4,20,0.743,2.228,6.209,0.772,1.190,0.266,7.846,7.875,5.818,5.903,6.694,79,57,13,16,11,31,36,0.165,0.203,0.139,0.392,0.456,0.658,1.975,3.752,0.725,1.025,0.225,5.409,5.075,3.112,2.945,5.379,2021-04-16,-3.649
88,2021-05-06,2021-05-14,12,linke,6.000,7.000,-1.000,1.000,0.465,1.394,1.278,0.424,0.909,0.061,1.000,,0.500,1.467,1.100,6,0,2,15,10,33,24,483.576,True,False,0.000,Die Linke,0.182,0.000,0.061,0.455,0.303,242,51,5,10,101,72,0.025,0.000,0.008,0.062,0.041,0.118,0.000,0.200,0.149,0.139,Opposition,0.000,1.000,19.000,WP19,2021,5,8,0.793,2.378,6.509,0.757,1.432,0.189,8.600,10.000,8.167,6.375,6.778,37,29,10,2,6,16,18,0.270,0.054,0.162,0.432,0.486,0.328,0.984,5.231,0.333,0.523,0.129,7.600,,7.667,4.908,5.678,2021-05-06,-2.649
89,2021-05-14,2021-06-10,11,cdu/csu,24.000,23.000,1.000,1.000,0.127,0.381,2.109,0.079,0.198,0.103,2.522,4.417,1.714,1.909,1.707,23,12,14,33,41,126,84,643.944,True,False,4.000,CDU/CSU,0.183,0.095,0.111,0.262,0.325,434,85,30,87,157,107,0.053,0.028,0.032,0.076,0.094,0.271,0.400,0.161,0.210,0.383,Regierung,1.000,0.000,19.000,WP19,2021,5,27,0.856,2.567,6.666,0.851,1.388,0.328,8.588,9.000,8.900,5.886,7.238,67,61,17,9,10,35,42,0.254,0.134,0.149,0.522,0.627,0.729,2.186,4.557,0.771,1.190,0.225,6.066,4.583,7.186,3.977,5.531,2021-05-14,-3.649
90,2021-06-10,2021-06-25,12,cdu/csu,28.000,24.000,4.000,4.000,0.123,0.368,3.141,0.091,0.215,0.062,3.387,4.368,2.250,3.340,2.339,62,19,12,53,59,209,140,629.746,True,False,4.000,CDU/CSU,0.297,0.091,0.057,0.254,0.282,563,148,60,59,159,163,0.110,0.034,0.021,0.094,0.105,0.419,0.317,0.203,0.333,0.362,Regierung,1.000,0.000,19.000,WP19,2021,6,15,0.747,2.241,7.062,0.646,1.291,0.304,7.833,8.786,8.467,6.214,7.780,79,55,18,14,15,28,41,0.228,0.177,0.190,0.354,0.519,0.624,1.872,3.921,0.555,1.076,0.242,4.446,4.417,6.217,2.875,5.442,2021-06-10,-2.649
91,2021-06-25,2021-07-01,12,spd,15.000,14.000,1.000,1.000,0.123,0.368,0.667,0.105,0.263,0.000,0.500,,0.000,1.200,0.286,2,0,1,5,7,19,9,628.368,True,False,2.000,SPD,0.105,0.000,0.053,0.263,0.368,77,8,5,7,22,33,0.026,0.000,0.013,0.065,0.091,0.250,0.000,0.143,0.227,0.212,Regierung,1.000,0.000,19.000,WP19,2021,6,6,0.727,2.182,6.821,0.545,1.182,0.455,9.000,8.500,8.000,8.000,6.400,11,7,1,2,1,3,5,0.091,0.182,0.091,0.273,0.455,0.604,1.813,6.155,0.440,0.919,0.455,8.500,,8.000,6.800,6.114,2021-06-25,-2.649
95,2021-08-20,2021-09-02,11,cdu/csu,23.000,27.000,-4.000,4.000,0.278,0.833,2.917,0.333,0.444,0.056,1.500,0.000,0.000,4.000,2.400,2,1,1,11,5,18,15,759.611,True,False,4.000,CDU/CSU,0.111,0.056,0.056,0.611,0.278,50,8,8,2,26,21,0.040,0.020,0.020,0.220,0.100,0.250,0.125,0.500,0.423,0.238,Regierung,1.000,0.000,19.000,WP19,2021,8,13,1.100,3.300,7.481,1.000,1.600,0.700,7.000,9.000,8.000,7.000,7.667,10,9,3,3,1,7,6,0.300,0.300,0.100,0.700,0.600,0.822,2.467,4.565,0.667,1.156,0.644,5.500,9.000,8.000,3.000,5.267,2021-08-20,-3.649
96,2021-09-02,2021-09-16,12,spd,25.000,21.000,4.000,4.000,0.238,0.714,1.950,0.286,0.429,0.000,3.000,,1.000,2.333,2.000,2,0,2,3,2,7,5,622.714,True,False,2.000,SPD,0.286,0.000,0.286,0.429,0.286,44,11,1,6,25,13,0.045,0.000,0.045,0.068,0.045,0.182,0.000,0.333,0.120,0.154,Regierung,1.000,0.000,19.000,WP19,2021,9,14,1.167,3.500,6.317,1.167,1.667,0.667,6.667,9.500,8.500,6.600,8.667,6,6,3,2,2,5,3,0.500,0.333,0.333,0.833,0.500,0.929,2.786,4.367,0.881,1.238,0.667,3.667,,7.500,4.267,6.667,2021-09-02,-2.649
97,2021-09-16,2021-10-29,11,cdu/csu,22.000,20.000,2.000,2.000,0.333,1.000,1.000,0.000,1.000,0.000,,,,2.000,0.000,0,0,0,1,1,1,1,537.000,True,False,4.000,CDU/CSU,0.000,0.000,0.000,1.000,1.000,5,0,0,2,3,2,0.000,0.000,0.000,0.200,0.200,,,0.000,0.333,0.500,Opposition,0.000,1.000,20.000,WP20,2021,9,43,1.667,5.000,7.750,2.000,2.000,1.000,,8.000,8.000,7.000,8.000,1,1,0,1,1,1,1,0.000,1.000,1.000,1.000,1.000,1.333,4.000,6.750,2.000,1.000,1.000,,,,5.000,8.000,2021-09-16,-3.649
99,2021-11-04,2021-11-26,10,spd,27.000,26.000,1.000,1.000,0.284,0.852,2.175,0.148,0.630,0.074,1.143,3.500,,2.909,1.400,7,4,0,11,10,27,21,605.407,True,False,2.000,SPD,0.259,0.148,0.000,0.407,0.370,109,27,16,0,42,34,0.064,0.037,0.000,0.101,0.092,0.259,0.250,,0.262,0.294,Regierung,1.000,0.000,20.000,WP20,2021,11,22,0.879,2.636,7.684,0.909,1.318,0.409,7.167,9.200,7.000,7.444,8.000,22,19,6,5,1,9,11,0.273,0.227,0.045,0.409,0.500,0.595,1.785,5.510,0.761,0.689,0.335,6.024,5.700,,4.535,6.600,2021-11-04,-4.649
101,2021-12-02,2021-12-10,11,cdu/csu,23.000,21.000,2.000,2.000,0.206,0.619,3.733,0.143,0.429,0.048,6.250,,,3.400,2.333,4,0,0,5,6,21,15,598.238,True,False,4.000,CDU/CSU,0.190,0.000,0.000,0.238,0.286,64,15,0,0,15,27,0.062,0.000,0.000,0.078,0.094,0.267,,,0.333,0.222,Opposition,0.000,1.000,20.000,WP20,2021,12,8,0.917,2.750,7.929,1.125,1.500,0.125,9.000,10.000,10.000,7.500,8.000,8,7,2,1,1,4,2,0.250,0.125,0.125,0.500,0.250,0.710,2.131,4.195,0.982,1.071,0.077,2.750,,,4.100,5.667,2021-12-02,-3.649
102,2021-12-10,2022-01-06,11,spd,26.000,25.000,1.000,1.000,0.013,0.038,1.100,0.038,0.000,0.000,0.556,,0.500,1.200,0.750,9,0,2,10,8,26,15,733.654,True,False,2.000,SPD,0.346,0.000,0.077,0.385,0.308,110,31,5,10,56,35,0.082,0.000,0.018,0.091,0.073,0.290,0.000,0.200,0.179,0.229,Regierung,1.000,0.000,20.000,WP20,2021,12,27,1.238,3.714,6.827,1.357,1.714,0.643,8.333,8.333,6.333,6.556,8.500,14,11,3,3,3,9,4,0.214,0.214,0.214,0.643,0.286,1.225,3.676,5.727,1.319,1.714,0.643,7.778,,5.833,5.356,7.750,2021-12-10,-3.649
103,2022-01-06,2022-01-21,11,cdu/csu,23.000,23.000,0.000,0.000,0.226,0.677,4.063,0.177,0.419,0.081,4.050,6.667,7.500,4.308,3.050,20,6,4,13,20,62,45,747.258,True,False,4.000,CDU/CSU,0.323,0.097,0.065,0.210,0.323,201,86,23,43,61,75,0.100,0.030,0.020,0.065,0.100,0.233,0.261,0.093,0.213,0.267,Opposition,0.000,1.000,20.000,WP20,2022,1,15,1.097,3.290,7.615,1.032,1.645,0.613,8.333,9.500,9.000,7.350,7.800,31,29,12,6,8,20,20,0.387,0.194,0.258,0.645,0.645,0.871,2.613,3.552,0.855,1.226,0.532,4.283,2.833,1.500,3.042,4.750,2022-01-06,-3.649
104,2022-01-21,2022-02-03,12,grüne,16.000,16.000,0.000,0.000,0.172,0.516,1.877,0.226,0.258,0.032,1.100,3.500,0.000,2.529,1.200,10,2,2,17,10,31,27,567.581,True,False,1.000,Bündnis 90/Die Grünen,0.323,0.065,0.065,0.548,0.323,165,52,7,5,74,69,0.061,0.012,0.012,0.103,0.061,0.192,0.286,0.400,0.230,0.145,Regierung,1.000,0.000,20.000,WP20,2022,1,13,0.855,2.565,7.238,0.913,1.478,0.174,7.571,7.500,7.000,6.800,6.909,23,21,7,2,1,10,11,0.304,0.087,0.043,0.435,0.478,0.683,2.049,5.362,0.687,1.220,0.142,6.471,4.000,7.000,4.271,5.709,2022-01-21,-2.649
105,2022-02-03,2022-02-18,12,cdu/csu,27.000,24.000,3.000,3.000,0.205,0.615,3.258,0.077,0.513,0.026,3.125,7.667,1.000,4.333,2.562,8,3,4,15,16,39,31,639.846,True,False,4.000,CDU/CSU,0.205,0.077,0.103,0.385,0.410,136,32,22,23,55,64,0.059,0.022,0.029,0.110,0.118,0.250,0.136,0.174,0.273,0.250,Opposition,0.000,1.000,20.000,WP20,2022,2,15,0.873,2.619,7.694,0.762,1.190,0.667,9.000,7.333,8.286,7.625,7.615,21,18,3,9,7,8,13,0.143,0.429,0.333,0.381,0.619,0.668,2.004,4.436,0.685,0.678,0.641,5.875,0.333,7.286,3.292,5.053,2022-02-03,-2.649
106,2022-02-18,2022-03-03,12,spd,24.000,22.000,2.000,2.000,0.190,0.571,1.218,0.214,0.357,0.000,1.000,1.250,0.000,1.222,1.000,12,4,1,9,20,28,26,638.536,True,False,2.000,SPD,0.429,0.143,0.036,0.321,0.714,89,36,16,3,23,54,0.135,0.045,0.011,0.101,0.225,0.333,0.250,0.333,0.391,0.370,Regierung,1.000,0.000,20.000,WP20,2022,2,13,0.812,2.438,7.094,0.812,1.375,0.250,9.000,6.667,10.000,6.000,6.538,16,15,7,3,1,8,13,0.438,0.188,0.062,0.500,0.812,0.622,1.866,5.876,0.598,1.018,0.250,8.000,5.417,10.000,4.778,5.538,2022-02-18,-2.649
107,2022-03-03,2022-03-18,11,cdu/csu,26.000,26.000,0.000,0.000,0.309,0.926,2.595,0.204,0.630,0.093,3.750,3.143,0.500,2.615,1.636,12,7,2,26,22,54,44,646.037,True,False,4.000,CDU/CSU,0.222,0.130,0.037,0.481,0.407,186,49,26,15,83,77,0.065,0.038,0.011,0.140,0.118,0.245,0.269,0.133,0.313,0.286,Opposition,0.000,1.000,20.000,WP20,2022,3,15,0.920,2.760,6.413,1.000,1.440,0.320,8.571,8.500,6.000,5.643,6.357,25,23,7,4,3,14,14,0.280,0.160,0.120,0.560,0.560,0.611,1.834,3.818,0.796,0.810,0.227,4.821,5.357,5.500,3.027,4.721,2022-03-03,-3.649
108,2022-03-18,2022-04-07,11,linke,4.000,5.000,-1.000,1.000,0.530,1.590,1.106,0.641,0.872,0.077,1.067,0.333,2.500,1.625,0.500,15,3,4,8,14,39,25,483.026,True,False,0.000,Die Linke,0.385,0.077,0.103,0.205,0.359,388,151,67,42,87,203,0.039,0.008,0.010,0.021,0.036,0.099,0.045,0.095,0.092,0.069,Opposition,0.000,1.000,20.000,WP20,2022,3,20,0.805,2.414,6.736,0.741,1.414,0.259,7.867,8.143,8.300,6.579,6.629,58,50,30,7,10,19,35,0.517,0.121,0.172,0.328,0.603,0.275,0.824,5.630,0.100,0.542,0.182,6.800,7.810,5.800,4.954,6.129,2022-03-18,-3.649
109,2022-04-07,2022-04-14,11,spd,24.000,25.000,-1.000,1.000,0.127,0.382,1.510,0.164,0.182,0.036,1.500,1.500,0.500,1.941,0.773,12,12,6,17,22,55,40,630.200,True,False,2.000,SPD,0.218,0.218,0.109,0.309,0.400,198,45,40,21,69,80,0.061,0.061,0.030,0.086,0.111,0.267,0.300,0.286,0.246,0.275,Regierung,1.000,0.000,20.000,WP20,2022,4,7,0.770,2.310,7.246,0.759,1.345,0.207,8.333,7.500,8.667,6.750,7.455,29,22,6,6,3,12,11,0.207,0.207,0.103,0.414,0.379,0.643,1.929,5.736,0.595,1.163,0.171,6.833,6.000,8.167,4.809,6.682,2022-04-07,-3.649
110,2022-04-14,2022-04-28,11,grüne,18.000,19.000,-1.000,1.000,0.000,0.000,0.700,0.000,0.000,0.000,0.000,,1.000,1.000,0.667,2,0,2,3,3,7,5,553.429,True,False,1.000,Bündnis 90/Die Grünen,0.286,0.000,0.286,0.429,0.429,40,11,2,10,14,16,0.050,0.000,0.050,0.075,0.075,0.182,0.000,0.200,0.214,0.188,Regierung,1.000,0.000,20.000,WP20,2022,4,14,0.800,2.400,7.083,0.800,1.400,0.200,10.000,,10.000,4.333,8.000,5,4,1,0,1,3,3,0.200,0.000,0.200,0.600,0.600,0.800,2.400,6.383,0.800,1.400,0.200,10.000,,9.000,3.333,7.333,2022-04-14,-3.649
111,2022-04-28,2022-05-13,11,linke,3.000,4.000,-1.000,1.000,0.500,1.500,1.826,0.580,0.880,0.040,2.538,1.200,0.000,0.857,2.200,13,5,5,14,20,50,34,447.060,True,False,0.000,Die Linke,0.260,0.100,0.100,0.280,0.400,414,113,56,39,114,175,0.031,0.012,0.012,0.034,0.048,0.115,0.089,0.128,0.123,0.114,Opposition,0.000,1.000,20.000,WP20,2022,4,15,0.765,2.295,6.203,0.754,1.328,0.213,7.714,8.125,7.167,5.200,6.344,61,51,21,8,6,20,32,0.344,0.131,0.098,0.328,0.525,0.265,0.795,4.377,0.174,0.448,0.173,5.176,6.925,7.167,4.343,4.144,2022-04-28,-3.649
112,2022-05-13,2022-06-02,11,spd,22.000,24.000,-2.000,2.000,0.132,0.396,1.404,0.126,0.243,0.027,1.761,2.000,0.167,1.120,0.905,46,11,12,25,42,111,86,661.342,True,False,2.000,SPD,0.414,0.099,0.108,0.225,0.378,415,158,31,35,89,157,0.111,0.027,0.029,0.060,0.101,0.291,0.355,0.343,0.281,0.268,Regierung,1.000,0.000,20.000,WP20,2022,5,20,0.853,2.559,7.134,0.864,1.441,0.254,8.161,7.615,8.286,5.857,7.171,59,53,31,13,7,21,41,0.525,0.220,0.119,0.356,0.695,0.721,2.163,5.730,0.738,1.197,0.227,6.400,5.615,8.119,4.737,6.266,2022-05-13,-3.649
113,2022-06-02,2022-06-24,11,cdu/csu,27.000,26.000,1.000,1.000,0.250,0.750,3.303,0.212,0.519,0.019,4.455,4.600,,3.938,2.794,22,5,0,16,34,104,52,668.462,True,False,4.000,CDU/CSU,0.212,0.048,0.000,0.154,0.327,381,120,38,16,73,155,0.058,0.013,0.000,0.042,0.089,0.183,0.132,0.000,0.219,0.219,Opposition,0.000,1.000,20.000,WP20,2022,6,22,0.897,2.691,6.830,0.909,1.491,0.291,8.000,8.556,8.000,5.526,6.700,55,47,22,9,5,19,40,0.400,0.164,0.091,0.345,0.727,0.647,1.941,3.527,0.698,0.972,0.272,3.545,3.956,,1.589,3.906,2022-06-02,-3.649
114,2022-06-24,2022-07-07,12,spd,20.000,21.000,-1.000,1.000,0.186,0.559,0.938,0.176,0.353,0.029,1.000,,1.000,0.857,0.625,8,0,8,14,8,34,24,675.324,True,False,2.000,SPD,0.235,0.000,0.235,0.412,0.235,123,33,6,26,51,32,0.065,0.000,0.065,0.114,0.065,0.242,0.000,0.308,0.275,0.250,Regierung,1.000,0.000,20.000,WP20,2022,6,13,0.633,1.900,6.778,0.750,0.950,0.200,9.000,6.000,9.250,6.083,7.000,20,18,5,2,8,12,8,0.250,0.100,0.400,0.600,0.400,0.447,1.341,5.840,0.574,0.597,0.171,8.000,,8.250,5.226,6.375,2022-06-24,-2.649
115,2022-07-07,2022-07-22,11,cdu/csu,27.000,26.000,1.000,1.000,0.242,0.725,3.065,0.145,0.536,0.043,4.368,2.800,3.333,3.846,2.179,19,5,3,13,28,69,46,621.377,True,False,4.000,CDU/CSU,0.275,0.072,0.043,0.188,0.406,250,81,16,13,37,94,0.076,0.020,0.012,0.052,0.112,0.235,0.312,0.231,0.351,0.298,Opposition,0.000,1.000,20.000,WP20,2022,7,15,0.847,2.541,7.006,0.865,1.405,0.270,8.846,7.400,6.750,5.455,7.190,37,30,13,5,4,11,21,0.351,0.135,0.108,0.297,0.568,0.605,1.816,3.940,0.720,0.869,0.227,4.478,4.600,3.417,1.608,5.012,2022-07-07,-3.649
119,2022-09-01,2022-09-16,13,spd,17.000,18.000,-1.000,1.000,0.105,0.316,1.361,0.105,0.197,0.013,1.452,1.750,0.778,1.267,1.111,31,4,9,15,27,76,54,707.789,True,False,2.000,SPD,0.408,0.053,0.118,0.197,0.355,292,111,18,19,62,112,0.106,0.014,0.031,0.051,0.092,0.279,0.222,0.474,0.242,0.241,Regierung,1.000,0.000,20.000,WP20,2022,9,15,0.979,2.936,7.483,1.043,1.617,0.277,8.360,8.200,8.375,6.214,7.385,47,38,25,10,8,14,26,0.532,0.213,0.170,0.298,0.553,0.873,2.620,6.122,0.937,1.420,0.263,6.908,6.450,7.597,4.948,6.274,2022-09-01,-1.649
120,2022-09-16,2022-10-06,14,cdu/csu,28.000,27.000,1.000,1.000,0.336,1.007,4.161,0.250,0.709,0.047,5.250,5.600,3.200,4.043,2.467,52,5,5,23,45,148,93,656.480,True,False,4.000,CDU/CSU,0.351,0.034,0.034,0.155,0.304,535,209,29,37,104,201,0.097,0.009,0.009,0.043,0.084,0.249,0.172,0.135,0.221,0.224,Opposition,0.000,1.000,20.000,WP20,2022,9,20,0.953,2.859,7.406,0.974,1.590,0.295,8.775,8.000,7.818,5.286,7.731,78,70,40,12,11,28,52,0.513,0.154,0.141,0.359,0.667,0.617,1.852,3.245,0.724,0.880,0.248,3.525,2.400,4.618,1.242,5.264,2022-09-16,-0.649
121,2022-10-06,2022-10-14,15,spd,17.000,17.000,0.000,0.000,0.214,0.643,1.250,0.250,0.339,0.054,1.571,1.889,1.000,0.385,1.000,14,9,4,13,19,56,36,562.893,True,False,2.000,SPD,0.250,0.161,0.071,0.232,0.339,193,51,33,12,49,72,0.073,0.047,0.021,0.067,0.098,0.275,0.273,0.333,0.265,0.264,Regierung,1.000,0.000,20.000,WP20,2022,10,8,1.111,3.333,7.714,1.292,1.625,0.417,8.667,8.571,6.500,6.818,7.867,24,21,9,7,4,11,15,0.375,0.292,0.167,0.458,0.625,0.897,2.690,6.464,1.042,1.286,0.363,7.095,6.683,5.500,6.434,6.867,2022-10-06,0.351
122,2022-10-14,2022-11-03,15,cdu/csu,26.000,28.000,-2.000,2.000,0.333,1.000,3.679,0.244,0.689,0.067,4.519,6.778,3.667,4.273,3.171,27,9,3,11,41,90,52,636.989,True,False,4.000,CDU/CSU,0.300,0.100,0.033,0.122,0.456,325,108,45,15,50,143,0.083,0.028,0.009,0.034,0.126,0.250,0.200,0.200,0.220,0.287,Opposition,0.000,1.000,20.000,WP20,2022,10,20,1.000,3.000,7.595,1.000,1.600,0.400,8.130,7.923,8.400,6.733,7.867,45,38,23,13,5,15,30,0.511,0.289,0.111,0.333,0.667,0.667,2.000,3.915,0.756,0.911,0.333,3.612,1.145,4.733,2.461,4.696,2022-10-14,0.351
123,2022-11-03,2022-11-11,14,linke,5.000,5.000,0.000,0.000,0.449,1.346,0.901,0.462,0.808,0.077,0.857,1.000,0.400,1.333,1.000,7,2,5,9,4,26,16,428.500,True,False,0.000,Die Linke,0.269,0.077,0.192,0.346,0.154,241,71,14,23,81,69,0.029,0.008,0.021,0.037,0.017,0.099,0.143,0.217,0.111,0.058,Opposition,0.000,1.000,20.000,WP20,2022,11,8,0.981,2.944,7.273,0.917,1.472,0.556,8.750,8.875,8.000,6.071,7.043,36,29,12,8,7,14,23,0.333,0.222,0.194,0.389,0.639,0.533,1.598,6.372,0.455,0.665,0.479,7.893,7.875,7.600,4.738,6.043,2022-11-03,-0.649
124,2022-11-11,2022-12-01,14,spd,18.000,19.000,-1.000,1.000,0.135,0.405,1.165,0.126,0.252,0.027,1.235,2.067,0.789,1.192,1.000,51,15,19,26,63,111,90,704.595,True,False,2.000,SPD,0.459,0.135,0.171,0.234,0.568,409,169,38,46,75,176,0.125,0.037,0.046,0.064,0.154,0.302,0.395,0.413,0.347,0.358,Regierung,1.000,0.000,20.000,WP20,2022,11,20,1.079,3.238,7.950,1.095,1.698,0.444,8.375,9.000,8.077,7.750,7.675,63,52,32,13,13,20,40,0.508,0.206,0.206,0.317,0.635,0.944,2.833,6.785,0.969,1.446,0.417,7.140,6.933,7.287,6.558,6.675,2022-11-11,-0.649
125,2022-12-01,2022-12-09,15,cdu/csu,30.000,28.000,2.000,2.000,0.355,1.066,4.659,0.276,0.684,0.105,4.652,6.600,3.600,5.267,4.579,23,10,5,15,19,76,46,608.697,True,False,4.000,CDU/CSU,0.303,0.132,0.066,0.197,0.250,281,103,35,30,67,91,0.082,0.036,0.018,0.053,0.068,0.223,0.286,0.167,0.224,0.209,Opposition,0.000,1.000,20.000,WP20,2022,12,8,1.017,3.050,7.434,1.100,1.500,0.450,8.786,9.125,7.857,5.917,8.000,40,33,14,8,7,12,18,0.350,0.200,0.175,0.300,0.450,0.661,1.984,2.775,0.824,0.816,0.345,4.134,2.525,4.257,0.650,3.421,2022-12-01,0.351
