poll_interval_id,poll_date,next_poll_date,afd_support_t,party_clean,party_support_t,party_support_t_minus_1,party_support_change,party_support_change_abs,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,is_mainstream_party,is_afd,afd_proximity_ordinal,afd_proximity_label,share_environment_of_party_speeches,share_migration_of_party_speeches,share_society_of_party_speeches,share_civil_rights_of_party_speeches,share_cosmopolitanism_of_party_speeches,n_mainstream_speeches,n_mainstream_speeches_environment,n_mainstream_speeches_migration,n_mainstream_speeches_society,n_mainstream_speeches_civil_rights,n_mainstream_speeches_cosmopolitanism,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,share_party_of_mainstream_environment_speeches,share_party_of_mainstream_migration_speeches,share_party_of_mainstream_society_speeches,share_party_of_mainstream_civil_rights_speeches,share_party_of_mainstream_cosmopolitanism_speeches,government_label_interval,is_government,is_opposition,wahlperiode,wahlperiode_cat,poll_year,poll_month,interval_length_days,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd,_time_order,afd_support_c
27,2018-10-19,2018-11-15,16,spd,14.000,15.000,-1.000,1.000,0.191,0.574,1.500,0.162,0.324,0.088,1.667,3.364,0.333,1.062,1.300,9,11,9,16,30,68,42,683.691,True,False,2.000,SPD,0.132,0.162,0.132,0.235,0.441,320,42,58,25,74,137,0.028,0.034,0.028,0.050,0.094,0.214,0.190,0.360,0.216,0.219,Regierung,1.000,0.000,19.000,WP19,2018,10,27,0.756,2.268,6.423,0.679,1.250,0.339,8.286,8.429,7.000,5.450,6.875,56,40,7,14,5,20,32,0.125,0.250,0.089,0.357,0.571,0.565,1.694,4.923,0.517,0.926,0.251,6.619,5.065,6.667,4.388,5.575,2018-10-19,1.351
28,2018-11-15,2018-11-30,14,cdu/csu,26.000,25.000,1.000,1.000,0.076,0.227,2.397,0.050,0.135,0.043,2.167,5.100,1.917,2.477,1.940,24,20,12,44,50,141,91,796.149,True,False,4.000,CDU/CSU,0.170,0.142,0.085,0.312,0.355,433,104,64,51,135,151,0.055,0.046,0.028,0.102,0.115,0.231,0.312,0.235,0.326,0.331,Regierung,1.000,0.000,19.000,WP19,2018,11,15,0.855,2.565,6.458,0.812,1.304,0.449,7.688,8.083,7.917,5.250,7.071,69,54,16,24,12,24,42,0.232,0.348,0.174,0.348,0.609,0.779,2.338,4.061,0.762,1.170,0.407,5.521,2.983,6.000,2.773,5.131,2018-11-15,-0.649
29,2018-11-30,2018-12-06,15,linke,8.000,9.000,-1.000,1.000,0.467,1.400,0.833,0.500,0.900,0.000,0.333,1.000,0.000,0.000,0.800,3,2,2,2,5,10,6,578.000,True,False,0.000,Die Linke,0.300,0.200,0.200,0.200,0.500,80,22,21,5,16,34,0.037,0.025,0.025,0.025,0.062,0.136,0.095,0.400,0.125,0.147,Opposition,0.000,1.000,19.000,WP19,2018,11,6,1.030,3.091,8.857,1.000,1.545,0.545,9.000,9.500,8.000,7.000,8.667,11,7,2,4,1,1,6,0.182,0.364,0.091,0.091,0.545,0.564,1.691,8.024,0.500,0.645,0.545,8.667,8.500,8.000,7.000,7.867,2018-11-30,0.351
30,2018-12-06,2018-12-14,14,spd,14.000,14.000,0.000,0.000,0.144,0.433,0.948,0.100,0.233,0.100,0.000,1.000,0.778,0.667,1.111,1,2,9,9,9,30,16,651.867,True,False,2.000,SPD,0.033,0.067,0.300,0.300,0.300,125,4,5,38,43,40,0.008,0.016,0.072,0.072,0.072,0.250,0.400,0.237,0.209,0.225,Regierung,1.000,0.000,19.000,WP19,2018,12,8,0.917,2.750,6.616,0.900,1.300,0.550,,7.750,7.250,7.286,6.615,20,18,0,8,8,7,13,0.000,0.400,0.400,0.350,0.650,0.772,2.317,5.668,0.800,1.067,0.450,,6.750,6.472,6.619,5.504,2018-12-06,-0.649
31,2018-12-14,2019-01-10,13,linke,8.000,8.000,0.000,0.000,0.238,0.714,0.933,0.286,0.286,0.143,0.000,2.000,,1.333,0.667,2,1,0,3,3,7,5,793.000,True,False,0.000,Die Linke,0.286,0.143,0.000,0.429,0.429,53,7,4,2,12,17,0.038,0.019,0.000,0.057,0.057,0.286,0.250,0.000,0.250,0.176,Opposition,0.000,1.000,19.000,WP19,2018,12,27,0.933,2.800,6.926,0.700,1.200,0.900,8.000,7.333,7.500,7.600,6.714,10,9,1,3,4,5,7,0.100,0.300,0.400,0.500,0.700,0.695,2.086,5.993,0.414,0.914,0.757,8.000,5.333,,6.267,6.048,2018-12-14,-1.649
32,2019-01-10,2019-01-25,14,cdu/csu,29.000,31.000,-2.000,2.000,0.186,0.557,2.793,0.131,0.279,0.148,2.071,6.556,,5.000,2.030,14,9,0,16,33,61,45,766.902,True,False,4.000,CDU/CSU,0.230,0.148,0.000,0.262,0.541,186,53,35,7,55,82,0.075,0.048,0.000,0.086,0.177,0.264,0.257,0.000,0.291,0.402,Regierung,1.000,0.000,19.000,WP19,2019,1,15,0.760,2.281,6.490,0.719,1.156,0.406,6.167,7.182,7.500,5.600,7.136,32,26,6,11,2,10,22,0.188,0.344,0.062,0.312,0.688,0.575,1.724,3.698,0.588,0.878,0.259,4.095,0.626,,0.600,5.106,2019-01-10,-0.649
33,2019-01-25,2019-02-14,15,cdu/csu,28.000,29.000,-1.000,1.000,0.110,0.329,2.767,0.043,0.271,0.014,4.444,6.500,,3.000,1.886,18,6,0,21,44,70,58,728.886,True,False,4.000,CDU/CSU,0.257,0.086,0.000,0.300,0.629,204,63,19,7,64,122,0.088,0.029,0.000,0.103,0.216,0.286,0.316,0.000,0.328,0.361,Regierung,1.000,0.000,19.000,WP19,2019,1,20,0.716,2.147,6.523,0.735,1.206,0.206,7.833,9.000,8.000,5.769,6.429,34,32,12,5,4,13,28,0.353,0.147,0.118,0.382,0.824,0.606,1.818,3.756,0.692,0.934,0.192,3.389,2.500,,2.769,4.542,2019-01-25,0.351
34,2019-02-14,2019-02-22,13,linke,8.000,8.000,0.000,0.000,0.496,1.489,0.902,0.556,0.911,0.022,0.143,1.000,0.333,0.947,0.923,7,7,6,19,26,45,35,601.156,True,False,0.000,Die Linke,0.156,0.156,0.133,0.422,0.578,354,54,46,43,95,147,0.020,0.020,0.017,0.054,0.073,0.130,0.152,0.140,0.200,0.177,Opposition,0.000,1.000,19.000,WP19,2019,2,8,0.797,2.390,7.021,0.712,1.288,0.390,7.444,7.100,8.700,6.944,7.229,59,43,9,20,10,18,35,0.153,0.339,0.169,0.305,0.593,0.300,0.901,6.119,0.156,0.377,0.368,7.302,6.100,8.367,5.997,6.305,2019-02-14,-1.649
35,2019-02-22,2019-03-15,12,cdu/csu,30.000,29.000,1.000,1.000,0.123,0.369,2.962,0.077,0.200,0.092,3.571,4.571,1.200,3.533,2.727,14,7,5,15,22,65,40,720.338,True,False,4.000,CDU/CSU,0.215,0.108,0.077,0.231,0.338,191,44,17,16,51,73,0.073,0.037,0.026,0.079,0.115,0.318,0.412,0.312,0.294,0.301,Regierung,1.000,0.000,19.000,WP19,2019,2,21,0.938,2.812,6.895,0.750,1.500,0.562,8.667,8.889,8.333,5.643,7.348,32,27,6,9,6,14,23,0.188,0.281,0.188,0.438,0.719,0.814,2.443,3.933,0.673,1.300,0.470,5.095,4.317,7.133,2.110,4.621,2019-02-22,-2.649
36,2019-03-15,2019-03-22,13,spd,17.000,18.000,-1.000,1.000,0.138,0.415,0.905,0.170,0.226,0.019,0.857,2.500,0.833,0.769,0.692,14,4,6,13,26,53,42,651.981,True,False,2.000,SPD,0.264,0.075,0.113,0.245,0.491,221,51,18,27,50,113,0.063,0.018,0.027,0.059,0.118,0.275,0.222,0.222,0.260,0.230,Regierung,1.000,0.000,19.000,WP19,2019,3,7,0.750,2.250,6.387,0.722,1.250,0.278,8.143,8.833,8.500,5.800,6.296,36,31,7,6,4,10,27,0.194,0.167,0.111,0.278,0.750,0.612,1.835,5.482,0.552,1.024,0.259,7.286,6.333,7.667,5.031,5.604,2019-03-15,-1.649
