populism_distance_to_afd,afd_support_t,wahlperiode_cat,poll_date
0.7727272727272728,12,WP19,2021-09-02
1.3333333333333337,11,WP20,2021-09-16
0.5332221295524048,10,WP20,2021-11-04
0.7395833333333333,11,WP20,2021-12-02
1.0835497835497834,11,WP20,2021-12-10
0.920986465521853,11,WP20,2022-01-06
0.6671936758893281,12,WP20,2022-01-21
0.6597805788982258,12,WP20,2022-02-03
0.5690543071161049,12,WP20,2022-02-18
0.6529749103942653,11,WP20,2022-03-03
0.6181715843109372,11,WP20,2022-03-18
0.5714617438755369,11,WP20,2022-04-07
0.5833333333333334,11,WP20,2022-04-14
0.5371690293286872,11,WP20,2022-04-28
0.6402559390102783,11,WP20,2022-05-13
0.7088682096556113,11,WP20,2022-06-02
0.4273712737127371,12,WP20,2022-06-24
0.6388468468468469,11,WP20,2022-07-07
0.7458466919265521,13,WP20,2022-09-01
0.6800942567297708,14,WP20,2022-09-16
0.7795048934945308,15,WP20,2022-10-06
0.7292307692307692,15,WP20,2022-10-14
0.7532657138466268,14,WP20,2022-11-03
0.8275313385337835,14,WP20,2022-11-11
0.7711150652431791,15,WP20,2022-12-01
0.6975371694472818,15,WP20,2022-12-09
0.7166666666666667,15,WP20,2023-01-05
0.7543916023993145,14,WP20,2023-01-19
0.6091395235780263,15,WP20,2023-02-02
0.8175675675675675,15,WP20,2023-02-17
0.7160493827160495,14,WP20,2023-03-02
0.7034982935153584,15,WP20,2023-03-17
0.8155778155778155,15,WP20,2023-04-14
0.7204301075268817,16,WP20,2023-05-04
0.6965716276061102,16,WP20,2023-05-12
0.76648473398176,18,WP20,2023-06-01
0.8873771730914588,19,WP20,2023-06-23
0.6144393241167435,20,WP20,2023-07-06
0.902415458937198,22,WP20,2023-08-31
0.603007598703438,22,WP20,2023-09-15
0.8080540858318637,22,WP20,2023-09-28
0.779420893124475,23,WP20,2023-10-13
0.816588785046729,22,WP20,2023-11-02
0.7472196946719238,21,WP20,2023-11-10
0.8284537559315964,21,WP20,2023-12-07
0.7519061583577714,22,WP20,2024-01-04
0.791581951132513,19,WP20,2024-02-01
0.6835357624831309,19,WP20,2024-03-07
0.6683134818728039,18,WP20,2024-04-04
0.7870462870462871,18,WP20,2024-05-02
0.7667967585440552,18,WP20,2024-05-30
0.8051319648093844,17,WP20,2024-07-04
0.8589316767343952,17,WP20,2024-09-05
0.6664596273291925,17,WP20,2024-10-10
0.7627450980392156,17,WP20,2024-10-31
1.0725939230654091,18,WP20,2024-11-07
0.7301587301587302,19,WP20,2024-11-21
0.7936293436293437,18,WP20,2024-12-05
0.6132275132275133,19,WP20,2024-12-19
0.858974358974359,20,WP20,2025-01-09
0.7298233847529624,20,WP20,2025-01-30
1.0555555555555558,21,WP20,2025-02-06
0.7413078149920255,21,WP20,2025-03-06
0.3333333333333333,24,WP21,2025-04-03
0.7643029208069858,23,WP21,2025-05-07
0.8450284900284902,23,WP21,2025-06-04
0.8022738507167573,23,WP21,2025-07-03
0.7540285801155366,25,WP21,2025-09-03
0.6679369962117976,26,WP21,2025-10-02
0.7445635680929799,26,WP21,2025-11-06
0.6522971058490183,25,WP21,2025-12-04
0.6298794902842647,25,WP21,2026-01-08
