poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat,afd_mean_populism_score,afd_mean_populism_sum,afd_mean_gal_tan_score,afd_mean_P1_people,afd_mean_P2_anti_elite,afd_mean_P3_outgroup,afd_mean_G1_environment,afd_mean_G2_migration,afd_mean_G3_society,afd_mean_G4_civil_rights,afd_mean_G5_cosmopolitanism,afd_n_speeches,afd_n_speeches_with_gal_tan,afd_n_speeches_environment,afd_n_speeches_migration,afd_n_speeches_society,afd_n_speeches_civil_rights,afd_n_speeches_cosmopolitanism,afd_share_environment_of_party_speeches,afd_share_migration_of_party_speeches,afd_share_society_of_party_speeches,afd_share_civil_rights_of_party_speeches,afd_share_cosmopolitanism_of_party_speeches,populism_distance_to_afd,populism_sum_distance_to_afd,gal_tan_distance_to_afd,P1_people_distance_to_afd,P2_anti_elite_distance_to_afd,P3_outgroup_distance_to_afd,G1_environment_distance_to_afd,G2_migration_distance_to_afd,G3_society_distance_to_afd,G4_civil_rights_distance_to_afd,G5_cosmopolitanism_distance_to_afd
20,2018-07-05,2018-07-27,16,0.2742616033755274,0.8227848101265823,2.3641509433962264,0.26582278481012656,0.45569620253164556,0.10126582278481013,2.1666666666666665,4.136363636363637,0.7,2.72,1.7333333333333334,18,22,10,25,30,79,53,771.7974683544304,0.22784810126582278,0.27848101265822783,0.12658227848101267,0.31645569620253167,0.379746835443038,mainstream_all,19,2018,7,22,WP19,1.2307692307692308,3.6923076923076925,7.564102564102565,1.1538461538461537,1.6923076923076923,0.8461538461538461,,8.444444444444445,7.8,8.0,7.615384615384615,13,13,0,9,5,4,13,0.0,0.6923076923076923,0.38461538461538464,0.3076923076923077,1.0,0.9565076273937034,2.8695228821811103,5.199951620706338,0.8880233690360272,1.2366114897760467,0.744888023369036,,4.308080808080808,7.1,5.279999999999999,5.882051282051282
21,2018-07-27,2018-08-02,16,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2018,7,6,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
22,2018-08-02,2018-08-24,17,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2018,8,22,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
23,2018-08-24,2018-09-06,17,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,mainstream_all,,2018,8,13,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
24,2018-09-06,2018-09-21,16,0.2945736434108527,0.8837209302325582,2.0701431492842537,0.27906976744186046,0.4930232558139535,0.11162790697674418,1.9692307692307693,3.8780487804878048,1.5625,2.1578947368421053,1.8952380952380952,65,41,16,57,105,215,163,803.893023255814,0.3023255813953488,0.19069767441860466,0.07441860465116279,0.2651162790697674,0.4883720930232558,mainstream_all,19,2018,9,15,WP19,1.2439024390243902,3.731707317073171,7.6938095238095245,1.2439024390243902,1.6097560975609757,0.8780487804878049,7.916666666666667,8.409090909090908,8.090909090909092,7.352941176470588,7.866666666666666,41,35,12,22,11,17,30,0.2926829268292683,0.5365853658536586,0.2682926829268293,0.4146341463414634,0.7317073170731707,0.9493287956135376,2.8479863868406126,5.623666374525271,0.9648326715825297,1.1167328417470221,0.7664208735110607,5.947435897435898,4.5310421286031035,6.528409090909092,5.195046439628483,5.9714285714285715
25,2018-09-21,2018-10-11,18,0.24793388429752067,0.743801652892562,2.272970085470085,0.19834710743801653,0.4669421487603306,0.07851239669421488,2.5901639344262297,3.323529411764706,1.7692307692307692,2.0166666666666666,1.9382716049382716,61,34,13,60,81,242,156,665.8842975206611,0.25206611570247933,0.14049586776859505,0.05371900826446281,0.24793388429752067,0.3347107438016529,mainstream_all,19,2018,9,20,WP19,0.9147286821705427,2.744186046511628,7.13063063063063,0.8604651162790697,1.3953488372093024,0.4883720930232558,7.6923076923076925,8.058823529411764,7.857142857142857,6.5,7.275862068965517,43,37,13,17,7,16,29,0.3023255813953488,0.3953488372093023,0.16279069767441862,0.37209302325581395,0.6744186046511628,0.666794797873022,2.0003843936190657,4.857660545160545,0.6621180088410532,0.9284066884489718,0.4098596963290409,5.102143757881462,4.735294117647058,6.087912087912088,4.483333333333333,5.337590464027246
26,2018-10-11,2018-10-19,16,0.23047619047619045,0.6914285714285714,1.8399543378995433,0.2057142857142857,0.40285714285714286,0.08285714285714285,2.056603773584906,3.246153846153846,1.0,1.3627450980392157,1.6328125,53,65,45,102,128,350,219,660.4914285714286,0.15142857142857144,0.18571428571428572,0.12857142857142856,0.2914285714285714,0.3657142857142857,mainstream_all,19,2018,10,8,WP19,0.7976190476190476,2.392857142857143,6.395833333333334,0.7678571428571429,1.2142857142857142,0.4107142857142857,7.888888888888889,7.631578947368421,9.428571428571429,5.458333333333333,6.485714285714286,56,44,9,19,7,24,35,0.16071428571428573,0.3392857142857143,0.125,0.42857142857142855,0.625,0.5671428571428572,1.7014285714285715,4.55587899543379,0.5621428571428572,0.8114285714285714,0.32785714285714285,5.832285115303984,4.385425101214575,8.428571428571429,4.095588235294118,4.852901785714286
27,2018-10-19,2018-11-15,16,0.240625,0.721875,2.0787037037037037,0.190625,0.459375,0.071875,1.8571428571428572,3.7758620689655173,0.84,2.0675675675675675,1.6423357664233578,42,58,25,74,137,320,198,648.959375,0.13125,0.18125,0.078125,0.23125,0.428125,mainstream_all,19,2018,10,27,WP19,0.7559523809523808,2.267857142857143,6.4229166666666675,0.6785714285714286,1.25,0.3392857142857143,8.285714285714286,8.428571428571429,7.0,5.45,6.875,56,40,7,14,5,20,32,0.125,0.25,0.08928571428571429,0.35714285714285715,0.5714285714285714,0.5153273809523808,1.5459821428571427,4.344212962962963,0.4879464285714286,0.790625,0.2674107142857143,6.428571428571429,4.652709359605911,6.16,3.3824324324324326,5.232664233576642
28,2018-11-15,2018-11-30,14,0.2063125481139338,0.6189376443418014,1.7764467592592592,0.16397228637413394,0.42032332563510394,0.03464203233256351,1.7980769230769231,2.890625,0.803921568627451,1.6222222222222222,1.4966887417218544,104,64,51,135,151,433,288,701.6974595842956,0.24018475750577367,0.14780600461893764,0.11778290993071594,0.3117782909930716,0.34872979214780603,mainstream_all,19,2018,11,15,WP19,0.855072463768116,2.5652173913043477,6.458024691358025,0.8115942028985508,1.3043478260869565,0.4492753623188406,7.6875,8.083333333333334,7.916666666666667,5.25,7.071428571428571,69,54,16,24,12,24,42,0.2318840579710145,0.34782608695652173,0.17391304347826086,0.34782608695652173,0.6086956521739131,0.6487599156541821,1.9462797469625461,4.681577932098766,0.6476219165244168,0.8840245004518525,0.41463332998627705,5.889423076923077,5.192708333333334,7.112745098039216,3.6277777777777778,5.574739829706717
29,2018-11-30,2018-12-06,15,0.2333333333333333,0.7,1.8333333333333333,0.1625,0.4875,0.05,2.3181818181818183,1.6666666666666667,0.0,1.0,1.2647058823529411,22,21,5,16,34,80,55,652.275,0.275,0.2625,0.0625,0.2,0.425,mainstream_all,19,2018,11,6,WP19,1.0303030303030303,3.090909090909091,8.857142857142858,1.0,1.5454545454545454,0.5454545454545454,9.0,9.5,8.0,7.0,8.666666666666666,11,7,2,4,1,1,6,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.796969696969697,2.3909090909090907,7.023809523809525,0.8375,1.0579545454545454,0.4954545454545454,6.681818181818182,7.833333333333333,8.0,6.0,7.401960784313725
