poll_interval_id,poll_date,next_poll_date,afd_support_t,mean_populism_score,mean_populism_sum,mean_gal_tan_score,mean_P1_people,mean_P2_anti_elite,mean_P3_outgroup,mean_G1_environment,mean_G2_migration,mean_G3_society,mean_G4_civil_rights,mean_G5_cosmopolitanism,n_speeches_environment,n_speeches_migration,n_speeches_society,n_speeches_civil_rights,n_speeches_cosmopolitanism,n_speeches,n_speeches_with_gal_tan,mean_word_count,share_environment_of_mainstream_speeches,share_migration_of_mainstream_speeches,share_society_of_mainstream_speeches,share_civil_rights_of_mainstream_speeches,share_cosmopolitanism_of_mainstream_speeches,unit,wahlperiode,poll_year,poll_month,interval_length_days,wahlperiode_cat
10,2018-02-15,2018-02-23,15,0.3483483483483483,1.045045045045045,2.163573883161512,0.23423423423423423,0.5585585585585585,0.25225225225225223,1.90625,3.6333333333333333,3.0606060606060606,2.2127659574468086,1.8363636363636364,32,30,33,47,55,111,97,712.3873873873874,0.2882882882882883,0.2702702702702703,0.2972972972972973,0.42342342342342343,0.4954954954954955,mainstream_all,19,2018,2,8,WP19
11,2018-02-23,2018-03-01,14,0.2349726775956284,0.7049180327868853,1.9404761904761905,0.11475409836065574,0.4098360655737705,0.18032786885245902,2.0,2.7777777777777777,1.5,1.0909090909090908,1.85,1,9,10,11,40,61,49,669.360655737705,0.01639344262295082,0.14754098360655737,0.16393442622950818,0.18032786885245902,0.6557377049180327,mainstream_all,19,2018,2,6,WP19
12,2018-03-01,2018-03-23,15,0.22698412698412698,0.680952380952381,1.9888297872340426,0.2,0.4,0.08095238095238096,2.452830188679245,3.528735632183908,1.4313725490196079,2.0086206896551726,1.7326732673267327,53,87,51,116,202,420,282,670.7523809523809,0.1261904761904762,0.20714285714285716,0.12142857142857143,0.2761904761904762,0.48095238095238096,mainstream_all,19,2018,3,22,WP19
13,2018-03-23,2018-04-05,13,0.24489795918367346,0.7346938775510204,2.8587962962962963,0.2653061224489796,0.3673469387755102,0.10204081632653061,2.3333333333333335,4.363636363636363,2.4285714285714284,3.263157894736842,2.9166666666666665,15,11,7,19,12,49,36,756.0,0.30612244897959184,0.22448979591836735,0.14285714285714285,0.3877551020408163,0.24489795918367346,mainstream_all,19,2018,3,13,WP19
14,2018-04-05,2018-04-20,14,0.24691358024691354,0.7407407407407407,2.0869281045751635,0.17037037037037037,0.45925925925925926,0.1111111111111111,3.0869565217391304,2.8666666666666667,0.6363636363636364,1.6666666666666667,1.457142857142857,23,30,11,48,70,135,102,663.0962962962963,0.17037037037037037,0.2222222222222222,0.08148148148148149,0.35555555555555557,0.5185185185185185,mainstream_all,19,2018,4,15,WP19
15,2018-04-20,2018-05-09,15,0.21979621542940317,0.6593886462882096,1.6091397849462366,0.1572052401746725,0.37117903930131,0.13100436681222707,1.4285714285714286,3.046511627906977,0.6296296296296297,1.4852941176470589,1.2522522522522523,28,43,27,68,111,229,155,672.7554585152839,0.1222707423580786,0.18777292576419213,0.11790393013100436,0.29694323144104806,0.4847161572052402,mainstream_all,19,2018,4,19,WP19
16,2018-05-09,2018-05-18,15,0.23895582329317266,0.7168674698795181,1.9311868686868685,0.18072289156626506,0.4819277108433735,0.05421686746987952,1.6666666666666667,3.142857142857143,0.8333333333333334,2.369565217391304,1.6329113924050633,57,28,24,46,79,166,132,830.777108433735,0.3433734939759036,0.1686746987951807,0.14457831325301204,0.27710843373493976,0.4759036144578313,mainstream_all,19,2018,5,9,WP19
17,2018-05-18,2018-06-14,14,0.2222222222222222,0.6666666666666666,1.7649325626204238,0.20155038759689922,0.43410852713178294,0.031007751937984496,1.8444444444444446,2.6739130434782608,0.2,1.8305084745762712,1.368421052631579,45,46,10,59,114,258,173,713.5813953488372,0.1744186046511628,0.17829457364341086,0.03875968992248062,0.22868217054263565,0.4418604651162791,mainstream_all,19,2018,5,27,WP19
18,2018-06-14,2018-06-28,15,0.2663230240549828,0.7989690721649485,2.1521252796420582,0.23195876288659795,0.4639175257731959,0.10309278350515463,1.8235294117647058,3.5483870967741935,0.8666666666666667,1.9863013698630136,1.841121495327103,17,62,15,73,107,194,149,660.6237113402062,0.08762886597938144,0.31958762886597936,0.07731958762886598,0.37628865979381443,0.5515463917525774,mainstream_all,19,2018,6,14,WP19
19,2018-06-28,2018-07-05,14,0.19273743016759776,0.5782122905027933,1.8219787516600265,0.15921787709497207,0.3770949720670391,0.04189944134078212,1.9494949494949494,2.8688524590163933,1.1071428571428572,1.6024096385542168,1.314102564102564,99,61,28,83,156,358,251,730.8854748603352,0.276536312849162,0.17039106145251395,0.0782122905027933,0.23184357541899442,0.43575418994413406,mainstream_all,19,2018,6,7,WP19
